BusStationName,Latitude,Longitude
"Gowdana palya,TELECOM NAGARA,BESIDE SRI BALAJI C.D.CENTRE",12.911532,77.555554
"Prarthana School,PADMANABHA NAGARA",12.912012,77.55855
"Kadirenahalli Village,KADIRENAHALLI,IN FRONT OF BELURU IYENGAR BAKERY",12.915687,77.561673
"kadirenahalli cross,BANASHANKRI 2ND STAGE TEACHERS COLONY,BESIDE S.A.F00T WEAR",12.913889,77.566868
BANASHANKARI TTMC,12.917563,77.573447
"Sangam Circle,JAYANAGARA 8TH BLOCK,BESIDE INDIAN TYRE CENTER",12.917625,77.577378
Jayanagara 40th Cross,12.91998,77.58013
Central Silk Board,12.91747,77.62423
"Madivala Mosque,KORAMANGALA 2ND BLOCK,IN FROUNT OF UJWAL FAB INDIA",12.925066,77.61898
"Koramangala Water Tank,KORAMANGALA RING ROAD,OPPOSITE OF KARNATAKA BANK",12.929294,77.621433
"BDA Complex koramangala,KORAMANGALA RING ROAD,OPPOSITE OF BDA COMPLEX",12.930898,77.622127
"Canara Bank Koramangala,KORAMANGALA RING ROAD,BESIDE SPICE HOT SHOP",12.935056,77.624019
"Jn of 80 and 100 Feet Road,KORAMANGALA RING ROAD,OPPOSITE OF OASIS CENTER & LIFE STYLE",12.938122,77.628023
"Sreenivagilu,KORAMANGALA RING ROAD,BESIDE ASC NORTH COMPLEX",12.938606,77.633225
Military Bridge,12.94598,77.63996
"Jn of New Bridge,DOMLURU,BESIDE GINGER COFFEE DAY",12.952326,77.640056
"Domlur,DOMLURU,OPPOSITE OF HDFC BANK",12.956942,77.641306
Domlur Bridge,12.960556,77.641415
"Doopanahalli,INDIRA NAGARA,BESIDE RELIANCE DIGITAL",12.963751,77.64148
"New Horizon School,HAL 2ND STAGE,BESIDE NAC HOME",12.9665,77.641335
"HAL 12th Main,HAL 2ND STAGE,BESIDE AXIS BANK",12.969441,77.641214
"HAL 6th Main,HAL 2ND STAGE,BESIDE BANK OF BARODA",12.973705,77.640912
"Indiranagar Police Station,INDIRA NAGARA,BESIDE POLICE STATION & K.F.C.",12.978189,77.64028
